subject,id,level,sa,choices,totalTrials_Pre,totalHits_Pre,totalFailures_Pre,totalTrials_Post,hitsPost,failuresPost
ky,AA3,3,600,3,591,576,15,580,576,4
ky,AA3,3,400,4,208,187,21,139,131,8
ky,AA3,3,300,4,0,0,0,0,0,0
ky,AA3,3,200,4,0,0,0,0,0,0
tp,AS4,1,800,3,605,558,47,586,576,10
tp,AS4,1,1000,2,577,576,1,577,576,1
tp,AS4,1,600,3,213,197,16,585,576,9
tp,AS4,1,400,4,0,0,0,175,151,24
tp,AS4,1,300,4,0,0,0,0,0,0
tp,AS4,1,200,4,0,0,0,0,0,0
tp,AS4,2,800,3,335,246,89,657,574,83
tp,AS4,2,1000,2,839,654,185,593,576,17
tp,AS4,2,600,3,0,0,0,552,471,81
tp,AS4,2,400,4,0,0,0,0,0,0
tp,AS4,2,300,4,0,0,0,0,0,0
tp,AS4,2,200,4,0,0,0,0,0,0
tp,AS4,3,800,3,348,252,96,694,570,124
tp,AS4,3,1000,2,899,725,174,651,575,76
tp,AS4,3,600,3,3,3,0,432,360,72
tp,AS4,3,400,4,0,0,0,0,0,0
tp,AS4,3,300,4,0,0,0,0,0,0
tp,AS4,3,200,4,0,0,0,0,0,0
mb,AA4,1,800,3,694,598,96,576,576,0
mb,AA4,1,1000,2,577,576,1,576,576,0
mb,AA4,1,600,3,442,423,19,576,576,0
mb,AA4,1,400,4,27,26,1,293,292,1
mb,AA4,1,300,4,0,0,0,0,0,0
mb,AA4,1,200,4,0,0,0,0,0,0
mb,AA4,2,800,3,676,575,101,583,576,7
mb,AA4,2,1000,2,577,576,1,576,576,0
mb,AA4,2,600,3,463,426,37,578,576,2
mb,AA4,2,400,4,18,17,1,281,276,5
mb,AA4,2,300,4,0,0,0,0,0,0
mb,AA4,2,200,4,0,0,0,0,0,0
mb,AA4,3,800,3,621,576,45,582,576,6
mb,AA4,3,1000,2,576,576,0,576,576,0
mb,AA4,3,600,3,545,505,40,580,576,4
mb,AA4,3,400,4,17,17,0,278,272,6
mb,AA4,3,300,4,0,0,0,0,0,0
mb,AA4,3,200,4,0,0,0,0,0,0
jz,ASW1,1,800,3,586,574,12,581,576,5
jz,ASW1,1,1000,2,576,576,0,577,576,1
jz,ASW1,1,600,3,553,546,7,579,576,3
jz,ASW1,1,400,4,187,177,10,371,361,10
jz,ASW1,1,300,4,0,0,0,0,0,0
jz,ASW1,1,200,4,0,0,0,0,0,0
jz,ASW1,2,800,3,590,575,15,581,576,5
jz,ASW1,2,1000,2,581,576,5,577,576,1
jz,ASW1,2,600,3,599,576,23,583,576,7
jz,ASW1,2,400,4,196,189,7,394,378,16
jz,ASW1,2,300,4,0,0,0,0,0,0
jz,ASW1,2,200,4,0,0,0,0,0,0
jz,ASW1,3,800,3,595,576,19,588,576,12
jz,ASW1,3,1000,2,579,576,3,577,576,1
jz,ASW1,3,600,3,591,575,16,583,576,7
jz,ASW1,3,400,4,200,191,9,378,352,26
jz,ASW1,3,300,4,0,0,0,0,0,0
jz,ASW1,3,200,4,0,0,0,0,0,0
by,AA1,1,800,3,587,576,11,578,576,2
by,AA1,1,1000,2,576,576,0,576,576,0
by,AA1,1,600,3,573,568,5,579,576,3
by,AA1,1,400,4,73,72,1,290,284,6
by,AA1,1,300,4,0,0,0,0,0,0
by,AA1,1,200,4,0,0,0,0,0,0
by,AA1,2,800,3,597,576,21,589,576,13
by,AA1,2,1000,2,576,575,1,581,576,5
by,AA1,2,600,3,561,539,22,582,576,6
by,AA1,2,400,4,102,93,9,233,224,9
by,AA1,2,300,4,0,0,0,0,0,0
by,AA1,2,200,4,0,0,0,0,0,0
by,AA1,3,800,3,590,575,15,590,576,14
by,AA1,3,1000,2,576,576,0,576,576,0
by,AA1,3,600,3,584,570,14,584,576,8
by,AA1,3,400,4,102,97,5,256,240,16
by,AA1,3,300,4,0,0,0,0,0,0
by,AA1,3,200,4,0,0,0,0,0,0
et,AS2,1,800,3,766,568,198,579,576,3
et,AS2,1,1000,2,571,570,1,579,576,3
et,AS2,1,600,3,508,416,92,579,576,3
et,AS2,1,400,4,46,38,8,282,273,9
et,AS2,1,300,4,0,0,0,0,0,0
et,AS2,1,200,4,0,0,0,0,0,0
et,AS2,2,800,3,836,615,221,588,576,12
et,AS2,2,1000,2,579,576,3,579,576,3
et,AS2,2,600,3,512,401,111,589,576,13
et,AS2,2,400,4,60,54,6,346,319,27
et,AS2,2,300,4,0,0,0,0,0,0
et,AS2,2,200,4,0,0,0,0,0,0
et,AS2,3,800,3,809,599,210,586,576,10
et,AS2,3,1000,2,580,576,4,578,576,2
et,AS2,3,600,3,561,424,137,585,576,9
et,AS2,3,400,4,68,60,8,342,315,27
et,AS2,3,300,4,0,0,0,0,0,0
et,AS2,3,200,4,0,0,0,0,0,0
